Plate Number,Detected At,OCR Count
REF,2025-06-17 03:22:44,1
RIBJF,2025-06-17 03:22:44,1
RIBJF,2025-06-17 03:22:45,1
RIB} F,2025-06-17 03:22:45,1
RIB} F,2025-06-17 03:22:45,1
R-E3 J,2025-06-17 03:22:45,1
RB}F,2025-06-17 03:22:46,1
R-IB3 JF,2025-06-17 03:22:46,1
R-IB3 JF,2025-06-17 03:22:46,1
R-1B3-JF,2025-06-17 03:22:46,1
R-IB3- JF,2025-06-17 03:22:46,1
R-183-JF,2025-06-17 03:22:47,1
R-183-JE,2025-06-17 03:22:47,1
R-183-JF,2025-06-17 03:22:47,1
R-1B3-JE,2025-06-17 03:22:47,1
R-1B3-JF,2025-06-17 03:22:48,1
R-1B3-JF,2025-06-17 03:22:48,1
R-1B3-JF,2025-06-17 03:22:48,1
R-1B3-JF,2025-06-17 03:22:48,1
R-183-JF,2025-06-17 03:22:48,1
R-183-JF,2025-06-17 03:22:49,1
R-183-JF,2025-06-17 03:22:49,1
R-183-JF,2025-06-17 03:22:49,1
R-183-JF,2025-06-17 03:22:49,1
R-183-JF,2025-06-17 03:22:50,1
R-183-JF,2025-06-17 03:22:50,1
R-183-JF,2025-06-17 03:22:50,1
R-183-JF,2025-06-17 03:22:50,1
R-183-JF,2025-06-17 03:22:51,1
R-183-JF,2025-06-17 03:22:51,1
R-183-JF,2025-06-17 03:22:51,1
R183-JF,2025-06-17 03:22:51,1
R-183-JF,2025-06-17 03:22:51,1
R-183-JF,2025-06-17 03:22:52,1
R-183-JF,2025-06-17 03:22:52,1
R-183-JF,2025-06-17 03:22:52,1
R-183-JF,2025-06-17 03:22:52,1
R-183-JF,2025-06-17 03:22:53,1
R-183-JF,2025-06-17 03:22:53,1
R-183-JF,2025-06-17 03:22:53,1
R-183-JF,2025-06-17 03:22:53,1
R-183-JF,2025-06-17 03:22:53,1
R183-JF,2025-06-17 03:22:54,1
R-183.JF,2025-06-17 03:22:54,1
R-183-JF,2025-06-17 03:22:54,1
