Plate Number,Detected At,OCR Count
REF,2025-06-17 03:22:44,2
RIBJF,2025-06-17 03:22:44,2
RIBJF,2025-06-17 03:22:45,2
RIB} F,2025-06-17 03:22:45,2
RIB} F,2025-06-17 03:22:45,2
R-E3 J,2025-06-17 03:22:45,2
RB}F,2025-06-17 03:22:46,2
R-IB3 JF,2025-06-17 03:22:46,2
R-IB3 JF,2025-06-17 03:22:46,2
R-1B3-JF,2025-06-17 03:22:46,2
R-IB3- JF,2025-06-17 03:22:46,2
R-183-JF,2025-06-17 03:22:47,2
R-183-JE,2025-06-17 03:22:47,2
R-183-JF,2025-06-17 03:22:47,2
R-1B3-JE,2025-06-17 03:22:47,2
R-1B3-JF,2025-06-17 03:22:48,2
R-1B3-JF,2025-06-17 03:22:48,2
R-1B3-JF,2025-06-17 03:22:48,2
R-1B3-JF,2025-06-17 03:22:48,2
R-183-JF,2025-06-17 03:22:48,2
R-183-JF,2025-06-17 03:22:49,2
R-183-JF,2025-06-17 03:22:49,2
R-183-JF,2025-06-17 03:22:49,2
R-183-JF,2025-06-17 03:22:49,2
R-183-JF,2025-06-17 03:22:50,2
R-183-JF,2025-06-17 03:22:50,2
R-183-JF,2025-06-17 03:22:50,2
R-183-JF,2025-06-17 03:22:50,2
R-183-JF,2025-06-17 03:22:51,2
R-183-JF,2025-06-17 03:22:51,2
R-183-JF,2025-06-17 03:22:51,2
R183-JF,2025-06-17 03:22:51,2
R-183-JF,2025-06-17 03:22:51,2
R-183-JF,2025-06-17 03:22:52,2
R-183-JF,2025-06-17 03:22:52,2
R-183-JF,2025-06-17 03:22:52,2
R-183-JF,2025-06-17 03:22:52,2
R-183-JF,2025-06-17 03:22:53,2
R-183-JF,2025-06-17 03:22:53,2
R-183-JF,2025-06-17 03:22:53,2
R-183-JF,2025-06-17 03:22:53,2
R-183-JF,2025-06-17 03:22:53,2
R183-JF,2025-06-17 03:22:54,2
R-183.JF,2025-06-17 03:22:54,2
R-183-JF,2025-06-17 03:22:54,2
R-183-JF,2025-06-17 03:22:54,2
R183-JF,2025-06-17 03:22:54,2
R183-JF,2025-06-17 03:22:55,2
R-183-JF,2025-06-17 03:22:55,2
R183-JF,2025-06-17 03:22:55,2
R-187IF,2025-06-17 03:22:55,2
Rib UIr,2025-06-17 03:22:55,2
Ri8t I,2025-06-17 03:22:56,2
R-187 IF,2025-06-17 03:22:56,2
R8UJE,2025-06-17 03:22:56,2
RI8UJE,2025-06-17 03:22:56,2
R-183 JF,2025-06-17 03:22:56,2
R-183 JF,2025-06-17 03:22:57,2
4,2025-06-17 03:22:57,2
9,2025-06-17 03:22:57,2
TK,2025-06-17 03:22:58,2
FE,2025-06-17 03:22:58,2
RH,2025-06-17 03:22:59,2
DiI,2025-06-17 03:22:59,2
DU,2025-06-17 03:22:59,2
DEE,2025-06-17 03:22:59,2
F694-JL,2025-06-17 03:23:00,2
Gilin,2025-06-17 03:23:00,2
Grin,2025-06-17 03:23:00,2
Gn,2025-06-17 03:23:00,2
MEA,2025-06-17 03:23:01,2
RBLH,2025-06-17 03:23:01,2
CL,2025-06-17 03:23:01,2
KAD,2025-06-17 03:23:01,2
43a4-JE,2025-06-17 03:23:02,2
RBAI,2025-06-17 03:23:02,2
48o4-JE,2025-06-17 03:23:02,2
484-u,2025-06-17 03:23:02,2
R8k,2025-06-17 03:23:03,2
DBAA,2025-06-17 03:23:03,2
